location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Austria;2020-09;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;1073766;1073766;2283285;7623665;7623665;1073766;1073766;2283285;7623665;7321394";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-03;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0.419354839;";3617003";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-05;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0.677419355;"3617003;5372947;3617003;5372947;3617003;5372947;3617003;5372947;4058935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-04;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0.4;"3617003;5372947;3617003;5372947;3617003;5372947";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-11;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;"7623665;1073766;1073766;2283285;7623665;7321394;2283285;7321394";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-10;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;1073766;1073766;2283285;7623665;7321394;7623665;1073766;1073766;2283285;7623665;7321394;2283285";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-08;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1806516;1805872";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-09;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1806516;1805872";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-10;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1806516;1805872";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-07;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;1073766;1073766;2283285";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-08;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;1;"7623665;1073766;1073766;2283285;7623665;1073766;1073766;2283285;7623665";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-11;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;"1806516;1805872;1806516;1805872";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-07;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1806516;1806516;1805872";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-06;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;"3617003;5372947;3617003;5372947;4058935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-07;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;"3617003;5372947;3617003;5372947;4058935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-11;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;"3617003;5372947;3617003;5372947;4058935;4901894;4058935;4901894";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-08;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;"3617003;5372947;3617003;5372947;4058935;4901894";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-09;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;"3617003;5372947;3617003;5372947;4058935;4901894";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-10;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;"3617003;5372947;3617003;5372947;4058935;4901894";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-01;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-01;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-01;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-01;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-01;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-01;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-02;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-02;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-02;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-02;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-02;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-02;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-03;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-03;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-03;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-04;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-04;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-04;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-05;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-05;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-05;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-06;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-06;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-06;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-07;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-07;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-08;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-08;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-09;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-09;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-10;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-10;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-11;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Austria;2020-11;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-08;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;6619466;8982814;8855251;6619466;2938998;8963593";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-09;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;6619466;8982814;8855251;6619466;2938998;8963593";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-10;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;6619466;8982814;8855251;6619466;2938998;8963593";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-11;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;"8855251;6619466;8982814;8855251;6619466;2938998;8963593;8982814;2938998;8963593";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-05;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;6619466;8982814;8855251;6619466;8982814;8855251;6619466";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-08;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;1;"8568776;8568776;156935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-08;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903;156935;3712764;1163699";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-09;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;1;"8568776;8568776;156935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-09;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903;156935;3712764;1163699";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-10;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;1;"8568776;8568776;156935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-11;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;"8568776;8568776;156935;156935";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-11;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903;156935;3712764;1163699;5298903;156935;3712764";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-02;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0.482758621;";8568776;8568776;8568776";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-03;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;"8568776;8568776";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-04;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;"8568776;8568776";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-05;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;"8568776;8568776";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-06;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;"8568776;8568776";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-07;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;"8568776;8568776";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-03;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0.225806452;";1163699";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-04;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;1163699;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-05;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-06;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-07;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-10;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;1;"1163699;5298903;156935;3712764;1163699;5298903";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-06;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0.766666667;";1254808";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-07;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;1254808;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-08;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;1254808;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-09;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;1254808;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-10;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;1;1254808;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-11;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;"1254808;1254808";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-03;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0.451612903;";8855251";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-06;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;6619466;8982814;8855251;6619466";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-07;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;6619466;8982814;8855251;6619466";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-04;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;1;"8855251;8855251;6619466;8982814";Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-01;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-01;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-01;Proportion of a month in which a government implemented policy requiring people to quarantine in a government facility in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-01;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-01;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-01;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-02;Proportion of a month in which a government implemented an External Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-02;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-02;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-02;Proportion of a month in which a government implemented a policy requiring people to self-quarantine in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-02;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-03;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-03;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-03;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-04;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-04;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-04;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-05;Proportion of a month in which a government implemented an Internal Border Restriction in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-05;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-05;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-06;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-06;Proportion of a month in which a country implemented a policy to restrict mass gatherings in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
Belgium;2020-07;Proportion of a month in which a government implemented a policy requiring people to quarantine in a facility outside of a government facility or at home (e.g. a hotel) in response to COVID-19;0;;Policy duration per month;web;CoronaNet Research Project;NA;2020;;https://www.coronanet-project.org/;2020-11-11;1
